concept,feature,label
bench,is manmade,1
bomb,is manmade,1
pistol,is manmade,1
toaster,is manmade,1
shirt,is manmade,1
hammer,is manmade,1
clamp,is manmade,1
kite,is manmade,1
typewriter,is manmade,1
chopping_board,is manmade,1
glider,is manmade,1
drill,is manmade,1
plate,is manmade,1
bicycle,is manmade,1
coffee_maker,is manmade,1
crowbar,is manmade,1
coach,is manmade,1
dinghy,is manmade,1
train,is manmade,1
spirit_level,is manmade,1
wallet,is manmade,1
leotard,is manmade,1
saw,is manmade,1
axe,is manmade,1
chainsaw,is manmade,1
caravan,is manmade,1
cap,is manmade,1
chisel,is manmade,1
bus,is manmade,1
hose,is manmade,1
buttercup,is manmade,0
hummingbird,is manmade,0
carnation,is manmade,0
wolf,is manmade,0
lobster,is manmade,0
bear,is manmade,0
radish,is manmade,0
cow,is manmade,0
finger,is manmade,0
seahorse,is manmade,0
cockroach,is manmade,0
buzzard,is manmade,0
chestnut,is manmade,0
alligator,is manmade,0
calf,is manmade,0
wren,is manmade,0
raisin,is manmade,0
blueberry,is manmade,0
emu,is manmade,0
wine,is manmade,0
hippo,is manmade,0
crab,is manmade,0
cod,is manmade,0
leg,is manmade,0
daffodil,is manmade,0
rice,is manmade,0
pine,is manmade,0
orange,is manmade,0
grasshopper,is manmade,0
rabbit,is manmade,0
pig,is manmade,0
ham,is manmade,0
herring,is manmade,0
toad,is manmade,0
prune,is manmade,0
chipmunk,is manmade,0
thumb,is manmade,0
cider,is manmade,0
tulip,is manmade,0
eggplant,is manmade,0
pineapple,is manmade,0
caterpillar,is manmade,0
kiwi,is manmade,0
octopus,is manmade,0
tongue,is manmade,0
chicken,is manmade,0
platypus,is manmade,0
pelican,is manmade,0
hyacinth,is manmade,0
foot,is manmade,0
seagull,is manmade,0
beer,is manmade,0
mussel,is manmade,0
starling,is manmade,0
tortoise,is manmade,0
rhino,is manmade,0
avocado,is manmade,0
crocodile,is manmade,0
eagle,is manmade,0
walrus,is manmade,0
skunk,is manmade,0
peach,is manmade,0
trout,is manmade,0
hair,is manmade,0
scallop,is manmade,0
worm,is manmade,0
hyena,is manmade,0
lamb,is manmade,0
plum,is manmade,0
onion,is manmade,0
leek,is manmade,0
coconut,is manmade,0
oak,is manmade,0
eucalyptus,is manmade,0
sunflower,is manmade,0
nut,is manmade,0
cricket,is manmade,0
arm,is manmade,0
bee,is manmade,0
satsuma,is manmade,0
slug,is manmade,0
wasp,is manmade,0
zebra,is manmade,0
orchid,is manmade,0
locust,is manmade,0
centipede,is manmade,0
daisy,is manmade,0
giraffe,is manmade,0
butter,is manmade,0
penguin,is manmade,0
elm,is manmade,0
date,is manmade,0
leopard,is manmade,0
cheetah,is manmade,0
lemon,is manmade,0
scorpion,is manmade,0
elephant,is manmade,0
apple,is manmade,0
geranium,is manmade,0
porcupine,is manmade,0
turnip,is manmade,0
carp,is manmade,0
termite,is manmade,0
donkey,is manmade,0
hawk,is manmade,0
spinach,is manmade,0
cake,is manmade,0
tangerine,is manmade,0
chocolate,is manmade,0
magpie,is manmade,0
cauliflower,is manmade,0
dandelion,is manmade,0
broccoli,is manmade,0
prawn,is manmade,0
seal,is manmade,0
dragonfly,is manmade,0
hedgehog,is manmade,0
mosquito,is manmade,0
tea,is manmade,0
rattlesnake,is manmade,0
apricot,is manmade,0
coffee,is manmade,0
bread,is manmade,0
currant,is manmade,0
bacon,is manmade,0
sardine,is manmade,0
otter,is manmade,0
flounder,is manmade,0
cucumber,is manmade,0
horse,is manmade,0
cookie,is manmade,0
stick_insect,is manmade,0
peacock,is manmade,0
bat,is manmade,0
tomato,is manmade,0
willow,is manmade,0
pony,is manmade,0
ostrich,is manmade,0
pea,is manmade,0
banana,is manmade,0
hornet,is manmade,0
gherkin,is manmade,0
yoghurt,is manmade,0
lion,is manmade,0
millipede,is manmade,0
lizard,is manmade,0
budgie,is manmade,0
swan,is manmade,0
snail,is manmade,0
woodpecker,is manmade,0
sugar,is manmade,0
dolphin,is manmade,0
marigold,is manmade,0
parakeet,is manmade,0
artichoke,is manmade,0
salmon,is manmade,0
sheep,is manmade,0
squid,is manmade,0
tarantula,is manmade,0
heron,is manmade,0
kingfisher,is manmade,0
rat,is manmade,0
gerbil,is manmade,0
pear,is manmade,0
guinea_pig,is manmade,0
spider,is manmade,0
moose,is manmade,0
clam,is manmade,0
sycamore,is manmade,0
rhubarb,is manmade,0
dog,is manmade,0
minnow,is manmade,0
watermelon,is manmade,0
raven,is manmade,0
eye,is manmade,0
goldfish,is manmade,0
housefly,is manmade,0
brussels_sprout,is manmade,0
fir,is manmade,0
butterfly,is manmade,0
raccoon,is manmade,0
mouse,is manmade,0
lemonade,is manmade,0
moth,is manmade,0
heart,is manmade,0
rose,is manmade,0
raspberry,is manmade,0
zucchini,is manmade,0
frog,is manmade,0
mackerel,is manmade,0
oyster,is manmade,0
cheese,is manmade,0
pumpkin,is manmade,0
pansy,is manmade,0
owl,is manmade,0
monkey,is manmade,0
cherry,is manmade,0
beetle,is manmade,0
duck,is manmade,0
flamingo,is manmade,0
panther,is manmade,0
flea,is manmade,0
squirrel,is manmade,0
lily,is manmade,0
birch,is manmade,0
lime,is manmade,0
crane,is manmade,0
tuna,is manmade,0
falcon,is manmade,0
crayfish,is manmade,0
donut,is manmade,0
jellyfish,is manmade,0
grapefruit,is manmade,0
shrimp,is manmade,0
gorilla,is manmade,0
cat,is manmade,0
strawberry,is manmade,0
mushroom,is manmade,0
corn,is manmade,0
melon,is manmade,0
olive,is manmade,0
ladybird,is manmade,0
asparagus,is manmade,0
ant,is manmade,0
sparrow,is manmade,0
carrot,is manmade,0
grape,is manmade,0
ox,is manmade,0
whale,is manmade,0
cabbage,is manmade,0
lettuce,is manmade,0
deer,is manmade,0
potato,is manmade,0
nightingale,is manmade,0
nectarine,is manmade,0
poppy,is manmade,0
mango,is manmade,0
tank,can be used by armed forces,1
helmet,can be used by armed forces,1
revolver,can be used by armed forces,1
motorcycle,can be used by armed forces,1
cannon,can be used by armed forces,1
rifle,can be used by armed forces,1
bullet,can be used by armed forces,1
ship,can be used by armed forces,1
shotgun,can be used by armed forces,1
bomb,can be used by armed forces,1
gloves,can be used by armed forces,1
pistol,can be used by armed forces,1
helicopter,can be used by armed forces,1
drum,can be used by armed forces,1
bayonet,can be used by armed forces,1
armor,can be used by armed forces,1
dagger,can be used by armed forces,1
grenade,can be used by armed forces,1
truck,can be used by armed forces,1
airplane,can be used by armed forces,1
gown,can be used by armed forces,1
submarine,can be used by armed forces,1
gun,can be used by armed forces,1
boat,can be used by armed forces,1
ball,can be used by armed forces,0
dice,can be used by armed forces,0
trolley,can be used by armed forces,0
basin,can be used by armed forces,0
tricycle,can be used by armed forces,0
wheelchair,can be used by armed forces,0
spanner,can be used by armed forces,0
clock,can be used by armed forces,0
trowel,can be used by armed forces,0
cockroach,can be used by armed forces,0
balloon,can be used by armed forces,0
plow,can be used by armed forces,0
oven,can be used by armed forces,0
rocket,can be used by armed forces,0
carriage,can be used by armed forces,0
dresser,can be used by armed forces,0
jar,can be used by armed forces,0
unicycle,can be used by armed forces,0
kayak,can be used by armed forces,0
van,can be used by armed forces,0
tambourine,can be used by armed forces,0
willow,can be used by armed forces,0
ostrich,can be used by armed forces,0
whisk,can be used by armed forces,0
tray,can be used by armed forces,0
gong,can be used by armed forces,0
basket,can be used by armed forces,0
harpoon,can be used by armed forces,0
catapult,can be used by armed forces,0
ladle,can be used by armed forces,0
pine,can be used by armed forces,0
sledge,can be used by armed forces,0
camel,can be used by armed forces,0
bin,can be used by armed forces,0
skateboard,can be used by armed forces,0
raft,can be used by armed forces,0
bowl,can be used by armed forces,0
bucket,can be used by armed forces,0
tugboat,can be used by armed forces,0
thumb,can be used by armed forces,0
yoyo,can be used by armed forces,0
guinea_pig,can be used by armed forces,0
wheelbarrow,can be used by armed forces,0
chest_of_drawers,can be used by armed forces,0
earmuffs,can be used by armed forces,0
tractor,can be used by armed forces,0
goat,can be used by armed forces,0
machete,can be used by armed forces,0
bottle,can be used by armed forces,0
rattle,can be used by armed forces,0
sycamore,can be used by armed forces,0
rattlesnake,can be used by armed forces,0
eye,can be used by armed forces,0
brussels_sprout,can be used by armed forces,0
tortoise,can be used by armed forces,0
spatula,can be used by armed forces,0
ashtray,can be used by armed forces,0
crocodile,can be used by armed forces,0
broom,can be used by armed forces,0
castanets,can be used by armed forces,0
yacht,can be used by armed forces,0
box,can be used by armed forces,0
hoe,can be used by armed forces,0
lamp,can be used by armed forces,0
leek,can be used by armed forces,0
beetle,can be used by armed forces,0
peeler,can be used by armed forces,0
rollerskate,can be used by armed forces,0
cart,can be used by armed forces,0
flamingo,can be used by armed forces,0
wasp,can be used by armed forces,0
strainer,can be used by armed forces,0
zebra,can be used by armed forces,0
can_opener,can be used by armed forces,0
bolt,can be used by armed forces,0
ferry,can be used by armed forces,0
bag,can be used by armed forces,0
squirrel,can be used by armed forces,0
chandelier,can be used by armed forces,0
puppet,can be used by armed forces,0
speedboat,can be used by armed forces,0
toaster,can be used by armed forces,0
houseboat,can be used by armed forces,0
clamp,can be used by armed forces,0
apple,can be used by armed forces,0
kite,can be used by armed forces,0
table,can be used by armed forces,0
chopping_board,can be used by armed forces,0
glider,can be used by armed forces,0
drill,can be used by armed forces,0
bicycle,can be used by armed forces,0
hawk,can be used by armed forces,0
coach,can be used by armed forces,0
bookcase,can be used by armed forces,0
barge,can be used by armed forces,0
dinghy,can be used by armed forces,0
train,can be used by armed forces,0
spirit_level,can be used by armed forces,0
wallet,can be used by armed forces,0
leotard,can be used by armed forces,0
cabbage,can be used by armed forces,0
stove,can be used by armed forces,0
dragonfly,can be used by armed forces,0
bus,can be used by armed forces,0
doll,can be used by armed forces,0
bathtub,can be used by armed forces,0
mango,can be used by armed forces,0
canoe,can be used by armed forces,0
frog,has teeth,1
walrus,has teeth,1
skunk,has teeth,1
tiger,has teeth,1
wolf,has teeth,1
bear,has teeth,1
pliers,has teeth,1
cow,has teeth,1
hyena,has teeth,1
otter,has teeth,1
lamb,has teeth,1
alligator,has teeth,1
horse,has teeth,1
calf,has teeth,1
buffalo,has teeth,1
monkey,has teeth,1
iguana,has teeth,1
bat,has teeth,1
hippo,has teeth,1
pony,has teeth,1
panther,has teeth,1
zebra,has teeth,1
lion,has teeth,1
llama,has teeth,1
rabbit,has teeth,1
giraffe,has teeth,1
lizard,has teeth,1
squirrel,has teeth,1
pig,has teeth,1
camel,has teeth,1
cheetah,has teeth,1
leopard,has teeth,1
dolphin,has teeth,1
elephant,has teeth,1
chipmunk,has teeth,1
cat,has teeth,1
gorilla,has teeth,1
hamster,has teeth,1
porcupine,has teeth,1
toad,has teeth,1
sheep,has teeth,1
gerbil,has teeth,1
guinea_pig,has teeth,1
donkey,has teeth,1
goat,has teeth,1
fox,has teeth,1
rat,has teeth,1
moose,has teeth,1
kangaroo,has teeth,1
shark,has teeth,1
platypus,has teeth,1
dog,has teeth,1
ox,has teeth,1
whale,has teeth,1
deer,has teeth,1
raccoon,has teeth,1
seal,has teeth,1
tortoise,has teeth,1
rhino,has teeth,1
mouse,has teeth,1
chainsaw,has teeth,1
rake,has teeth,1
saw,has teeth,1
hedgehog,has teeth,1
crocodile,has teeth,1
beaver,has teeth,1
rattlesnake,has teeth,1
hummingbird,has teeth,0
buttercup,has teeth,0
carnation,has teeth,0
ball,has teeth,0
dice,has teeth,0
tank,has teeth,0
lobster,has teeth,0
basin,has teeth,0
radish,has teeth,0
finger,has teeth,0
seahorse,has teeth,0
cockroach,has teeth,0
buzzard,has teeth,0
chestnut,has teeth,0
wren,has teeth,0
cupboard,has teeth,0
blueberry,has teeth,0
arrow,has teeth,0
emu,has teeth,0
rocket,has teeth,0
raisin,has teeth,0
dresser,has teeth,0
carriage,has teeth,0
kayak,has teeth,0
crab,has teeth,0
dove,has teeth,0
cod,has teeth,0
rifle,has teeth,0
guitar,has teeth,0
knickers,has teeth,0
daffodil,has teeth,0
grater,has teeth,0
partridge,has teeth,0
basket,has teeth,0
pine,has teeth,0
grasshopper,has teeth,0
goose,has teeth,0
ladle,has teeth,0
shotgun,has teeth,0
cage,has teeth,0
sledge,has teeth,0
mirror,has teeth,0
ambulance,has teeth,0
stool,has teeth,0
skateboard,has teeth,0
herring,has teeth,0
bucket,has teeth,0
pie,has teeth,0
thumb,has teeth,0
tulip,has teeth,0
harmonica,has teeth,0
swimsuit,has teeth,0
kettle,has teeth,0
pineapple,has teeth,0
chest_of_drawers,has teeth,0
dressing_gown,has teeth,0
caterpillar,has teeth,0
harpsichord,has teeth,0
octopus,has teeth,0
tongue,has teeth,0
football,has teeth,0
chicken,has teeth,0
pelican,has teeth,0
hyacinth,has teeth,0
seagull,has teeth,0
sweater,has teeth,0
trumpet,has teeth,0
beer,has teeth,0
blouse,has teeth,0
mussel,has teeth,0
starling,has teeth,0
crossbow,has teeth,0
broom,has teeth,0
eagle,has teeth,0
suit,has teeth,0
scalpel,has teeth,0
lorry,has teeth,0
trout,has teeth,0
hair,has teeth,0
scallop,has teeth,0
worm,has teeth,0
yacht,has teeth,0
hoe,has teeth,0
lamp,has teeth,0
leek,has teeth,0
sink,has teeth,0
coconut,has teeth,0
oak,has teeth,0
sunflower,has teeth,0
eucalyptus,has teeth,0
cape,has teeth,0
cricket,has teeth,0
rollerskate,has teeth,0
armchair,has teeth,0
bee,has teeth,0
frisbee,has teeth,0
slug,has teeth,0
wasp,has teeth,0
bolt,has teeth,0
orchid,has teeth,0
locust,has teeth,0
centipede,has teeth,0
daisy,has teeth,0
bag,has teeth,0
ferry,has teeth,0
penguin,has teeth,0
elm,has teeth,0
chandelier,has teeth,0
lemon,has teeth,0
puppet,has teeth,0
knife,has teeth,0
speedboat,has teeth,0
scorpion,has teeth,0
helicopter,has teeth,0
camera,has teeth,0
geranium,has teeth,0
barrel,has teeth,0
table,has teeth,0
carp,has teeth,0
termite,has teeth,0
hawk,has teeth,0
cockerel,has teeth,0
tangerine,has teeth,0
canary,has teeth,0
bookcase,has teeth,0
armor,has teeth,0
bikini,has teeth,0
barge,has teeth,0
magpie,has teeth,0
dandelion,has teeth,0
hatchet,has teeth,0
rolling_pin,has teeth,0
stove,has teeth,0
prawn,has teeth,0
dragonfly,has teeth,0
pigeon,has teeth,0
tights,has teeth,0
oil_tanker,has teeth,0
turtle,has teeth,0
mosquito,has teeth,0
doll,has teeth,0
tea,has teeth,0
spade,has teeth,0
bathtub,has teeth,0
tweezer,has teeth,0
apricot,has teeth,0
plow,has teeth,0
canoe,has teeth,0
bread,has teeth,0
coffee,has teeth,0
trolley,has teeth,0
spanner,has teeth,0
trowel,has teeth,0
sardine,has teeth,0
limousine,has teeth,0
club,has teeth,0
flounder,has teeth,0
balloon,has teeth,0
stick_insect,has teeth,0
peacock,has teeth,0
jar,has teeth,0
unicycle,has teeth,0
apron,has teeth,0
van,has teeth,0
willow,has teeth,0
pea,has teeth,0
ostrich,has teeth,0
rocking_chair,has teeth,0
hornet,has teeth,0
tray,has teeth,0
spoon,has teeth,0
catapult,has teeth,0
millipede,has teeth,0
harpoon,has teeth,0
tuba,has teeth,0
soup,has teeth,0
budgie,has teeth,0
swan,has teeth,0
snail,has teeth,0
woodpecker,has teeth,0
turkey,has teeth,0
bin,has teeth,0
sugar,has teeth,0
marigold,has teeth,0
parakeet,has teeth,0
salmon,has teeth,0
raft,has teeth,0
bowl,has teeth,0
artichoke,has teeth,0
drum,has teeth,0
yoyo,has teeth,0
squid,has teeth,0
tarantula,has teeth,0
heron,has teeth,0
kingfisher,has teeth,0
earmuffs,has teeth,0
pear,has teeth,0
machete,has teeth,0
spider,has teeth,0
bottle,has teeth,0
clam,has teeth,0
cradle,has teeth,0
rattle,has teeth,0
sycamore,has teeth,0
rhubarb,has teeth,0
bow,has teeth,0
minnow,has teeth,0
raven,has teeth,0
watermelon,has teeth,0
goldfish,has teeth,0
truck,has teeth,0
housefly,has teeth,0
brussels_sprout,has teeth,0
fir,has teeth,0
butterfly,has teeth,0
sword,has teeth,0
toe,has teeth,0
submarine,has teeth,0
champagne,has teeth,0
boat,has teeth,0
moth,has teeth,0
heart,has teeth,0
rose,has teeth,0
zucchini,has teeth,0
colander,has teeth,0
mackerel,has teeth,0
bed,has teeth,0
oyster,has teeth,0
shawl,has teeth,0
robin,has teeth,0
cheese,has teeth,0
penknife,has teeth,0
box,has teeth,0
robe,has teeth,0
pumpkin,has teeth,0
sock,has teeth,0
piano,has teeth,0
owl,has teeth,0
pansy,has teeth,0
beetle,has teeth,0
peeler,has teeth,0
hutch,has teeth,0
moped,has teeth,0
duck,has teeth,0
flamingo,has teeth,0
strainer,has teeth,0
flea,has teeth,0
veil,has teeth,0
bench,has teeth,0
lily,has teeth,0
birch,has teeth,0
crane,has teeth,0
tuna,has teeth,0
bomb,has teeth,0
falcon,has teeth,0
toaster,has teeth,0
crayfish,has teeth,0
shirt,has teeth,0
hammer,has teeth,0
clamp,has teeth,0
kite,has teeth,0
jellyfish,has teeth,0
shrimp,has teeth,0
chopping_board,has teeth,0
drill,has teeth,0
typewriter,has teeth,0
mushroom,has teeth,0
corn,has teeth,0
plate,has teeth,0
ladybird,has teeth,0
bicycle,has teeth,0
flour,has teeth,0
ant,has teeth,0
coach,has teeth,0
sparrow,has teeth,0
eel,has teeth,0
train,has teeth,0
spirit_level,has teeth,0
wallet,has teeth,0
leotard,has teeth,0
cabbage,has teeth,0
lettuce,has teeth,0
nightingale,has teeth,0
caravan,has teeth,0
poppy,has teeth,0
bus,has teeth,0
mango,has teeth,0
frog,can be found in water,1
mackerel,can be found in water,1
walrus,can be found in water,1
oyster,can be found in water,1
lobster,can be found in water,1
trout,can be found in water,1
sardine,can be found in water,1
scallop,can be found in water,1
seahorse,can be found in water,1
otter,can be found in water,1
flounder,can be found in water,1
alligator,can be found in water,1
hippo,can be found in water,1
duck,can be found in water,1
crab,can be found in water,1
cod,can be found in water,1
flamingo,can be found in water,1
goose,can be found in water,1
penguin,can be found in water,1
swan,can be found in water,1
tuna,can be found in water,1
snail,can be found in water,1
mosquito,can be found in water,1
dolphin,can be found in water,1
crayfish,can be found in water,1
herring,can be found in water,1
toad,can be found in water,1
salmon,can be found in water,1
jellyfish,can be found in water,1
shrimp,can be found in water,1
carp,can be found in water,1
squid,can be found in water,1
kingfisher,can be found in water,1
octopus,can be found in water,1
clam,can be found in water,1
eel,can be found in water,1
shark,can be found in water,1
platypus,can be found in water,1
pelican,can be found in water,1
seagull,can be found in water,1
minnow,can be found in water,1
goldfish,can be found in water,1
whale,can be found in water,1
mussel,can be found in water,1
prawn,can be found in water,1
seal,can be found in water,1
turtle,can be found in water,1
crocodile,can be found in water,1
beaver,can be found in water,1
hummingbird,can be found in water,0
bear,can be found in water,0
wheelchair,can be found in water,0
cockroach,can be found in water,0
buzzard,can be found in water,0
car,can be found in water,0
wren,can be found in water,0
calf,can be found in water,0
emu,can be found in water,0
stick_insect,can be found in water,0
bat,can be found in water,0
dove,can be found in water,0
celery,can be found in water,0
ostrich,can be found in water,0
guitar,can be found in water,0
jeans,can be found in water,0
partridge,can be found in water,0
millipede,can be found in water,0
grasshopper,can be found in water,0
lizard,can be found in water,0
budgie,can be found in water,0
turkey,can be found in water,0
woodpecker,can be found in water,0
bean,can be found in water,0
parakeet,can be found in water,0
chipmunk,can be found in water,0
heron,can be found in water,0
gerbil,can be found in water,0
guinea_pig,can be found in water,0
rat,can be found in water,0
tarantula,can be found in water,0
fox,can be found in water,0
caterpillar,can be found in water,0
spear,can be found in water,0
spider,can be found in water,0
chicken,can be found in water,0
dog,can be found in water,0
raven,can be found in water,0
housefly,can be found in water,0
starling,can be found in water,0
raccoon,can be found in water,0
tortoise,can be found in water,0
butterfly,can be found in water,0
mouse,can be found in water,0
brussels_sprout,can be found in water,0
toe,can be found in water,0
ashtray,can be found in water,0
moth,can be found in water,0
eagle,can be found in water,0
skunk,can be found in water,0
hyena,can be found in water,0
worm,can be found in water,0
lamb,can be found in water,0
plum,can be found in water,0
owl,can be found in water,0
monkey,can be found in water,0
beetle,can be found in water,0
sunflower,can be found in water,0
cricket,can be found in water,0
rollerskate,can be found in water,0
wetsuit,can be found in water,0
bee,can be found in water,0
slug,can be found in water,0
wasp,can be found in water,0
flea,can be found in water,0
locust,can be found in water,0
centipede,can be found in water,0
squirrel,can be found in water,0
crane,can be found in water,0
knife,can be found in water,0
falcon,can be found in water,0
scorpion,can be found in water,0
hamster,can be found in water,0
elephant,can be found in water,0
cat,can be found in water,0
porcupine,can be found in water,0
clamp,can be found in water,0
mushroom,can be found in water,0
termite,can be found in water,0
ladybird,can be found in water,0
hawk,can be found in water,0
ant,can be found in water,0
canary,can be found in water,0
kangaroo,can be found in water,0
sparrow,can be found in water,0
gown,can be found in water,0
stove,can be found in water,0
nightingale,can be found in water,0
dragonfly,can be found in water,0
pigeon,can be found in water,0
hedgehog,can be found in water,0
bathtub,can be found in water,0
coffee,can be found in water,0
mackerel,has scales,1
trout,has scales,1
sardine,has scales,1
flounder,has scales,1
alligator,has scales,1
iguana,has scales,1
cod,has scales,1
lizard,has scales,1
tuna,has scales,1
crayfish,has scales,1
herring,has scales,1
salmon,has scales,1
carp,has scales,1
eel,has scales,1
shark,has scales,1
minnow,has scales,1
goldfish,has scales,1
tortoise,has scales,1
turtle,has scales,1
crocodile,has scales,1
rattlesnake,has scales,1
frog,has scales,0
hummingbird,has scales,0
bear,has scales,0
spanner,has scales,0
seahorse,has scales,0
worm,has scales,0
buzzard,has scales,0
lamb,has scales,0
onion,has scales,0
wren,has scales,0
calf,has scales,0
emu,has scales,0
owl,has scales,0
monkey,has scales,0
rocket,has scales,0
bat,has scales,0
microwave,has scales,0
celery,has scales,0
ostrich,has scales,0
flamingo,has scales,0
gherkin,has scales,0
tray,has scales,0
millipede,has scales,0
harpoon,has scales,0
skirt,has scales,0
giraffe,has scales,0
squirrel,has scales,0
budgie,has scales,0
swan,has scales,0
crane,has scales,0
turkey,has scales,0
woodpecker,has scales,0
lemon,has scales,0
falcon,has scales,0
scorpion,has scales,0
parakeet,has scales,0
toad,has scales,0
hamster,has scales,0
porcupine,has scales,0
elephant,has scales,0
jellyfish,has scales,0
cat,has scales,0
tulip,has scales,0
heron,has scales,0
gerbil,has scales,0
kettle,has scales,0
kingfisher,has scales,0
hawk,has scales,0
rat,has scales,0
caterpillar,has scales,0
flour,has scales,0
fox,has scales,0
canary,has scales,0
kangaroo,has scales,0
sparrow,has scales,0
chicken,has scales,0
platypus,has scales,0
flute,has scales,0
starling,has scales,0
nightingale,has scales,0
dragonfly,has scales,0
axe,has scales,0
mouse,has scales,0
pigeon,has scales,0
hedgehog,has scales,0
tea,has scales,0
broom,has scales,0
beaver,has scales,0
eagle,has scales,0
hummingbird,is an animal,1
tiger,is an animal,1
wolf,is an animal,1
lobster,is an animal,1
bear,is an animal,1
cow,is an animal,1
seahorse,is an animal,1
cockroach,is an animal,1
buzzard,is an animal,1
alligator,is an animal,1
calf,is an animal,1
wren,is an animal,1
emu,is an animal,1
iguana,is an animal,1
hippo,is an animal,1
crab,is an animal,1
dove,is an animal,1
cod,is an animal,1
partridge,is an animal,1
rabbit,is an animal,1
grasshopper,is an animal,1
goose,is an animal,1
pig,is an animal,1
camel,is an animal,1
herring,is an animal,1
chipmunk,is an animal,1
toad,is an animal,1
goat,is an animal,1
fox,is an animal,1
caterpillar,is an animal,1
octopus,is an animal,1
chicken,is an animal,1
platypus,is an animal,1
pelican,is an animal,1
seagull,is an animal,1
mussel,is an animal,1
starling,is an animal,1
tortoise,is an animal,1
rhino,is an animal,1
crocodile,is an animal,1
beaver,is an animal,1
eagle,is an animal,1
walrus,is an animal,1
skunk,is an animal,1
trout,is an animal,1
scallop,is an animal,1
hyena,is an animal,1
worm,is an animal,1
lamb,is an animal,1
cricket,is an animal,1
bee,is an animal,1
slug,is an animal,1
zebra,is an animal,1
wasp,is an animal,1
locust,is an animal,1
giraffe,is an animal,1
centipede,is an animal,1
penguin,is an animal,1
cheetah,is an animal,1
leopard,is an animal,1
scorpion,is an animal,1
elephant,is an animal,1
hamster,is an animal,1
porcupine,is an animal,1
carp,is an animal,1
termite,is an animal,1
donkey,is an animal,1
hawk,is an animal,1
cockerel,is an animal,1
canary,is an animal,1
magpie,is an animal,1
prawn,is an animal,1
seal,is an animal,1
dragonfly,is an animal,1
pigeon,is an animal,1
hedgehog,is an animal,1
mosquito,is an animal,1
turtle,is an animal,1
rattlesnake,is an animal,1
sardine,is an animal,1
otter,is an animal,1
flounder,is an animal,1
horse,is an animal,1
buffalo,is an animal,1
stick_insect,is an animal,1
peacock,is an animal,1
bat,is an animal,1
pony,is an animal,1
ostrich,is an animal,1
hornet,is an animal,1
lion,is an animal,1
llama,is an animal,1
millipede,is an animal,1
lizard,is an animal,1
budgie,is an animal,1
swan,is an animal,1
snail,is an animal,1
turkey,is an animal,1
woodpecker,is an animal,1
dolphin,is an animal,1
parakeet,is an animal,1
salmon,is an animal,1
sheep,is an animal,1
heron,is an animal,1
gerbil,is an animal,1
guinea_pig,is an animal,1
rat,is an animal,1
tarantula,is an animal,1
kingfisher,is an animal,1
squid,is an animal,1
moose,is an animal,1
spider,is an animal,1
clam,is an animal,1
dog,is an animal,1
minnow,is an animal,1
raven,is an animal,1
goldfish,is an animal,1
housefly,is an animal,1
raccoon,is an animal,1
butterfly,is an animal,1
mouse,is an animal,1
moth,is an animal,1
frog,is an animal,1
mackerel,is an animal,1
oyster,is an animal,1
robin,is an animal,1
owl,is an animal,1
monkey,is an animal,1
beetle,is an animal,1
duck,is an animal,1
panther,is an animal,1
flamingo,is an animal,1
flea,is an animal,1
squirrel,is an animal,1
crane,is an animal,1
tuna,is an animal,1
falcon,is an animal,1
crayfish,is an animal,1
cat,is an animal,1
gorilla,is an animal,1
jellyfish,is an animal,1
shrimp,is an animal,1
ladybird,is an animal,1
ant,is an animal,1
kangaroo,is an animal,1
sparrow,is an animal,1
eel,is an animal,1
shark,is an animal,1
ox,is an animal,1
whale,is an animal,1
deer,is an animal,1
nightingale,is an animal,1
buttercup,is an animal,0
carnation,is an animal,0
ball,is an animal,0
dice,is an animal,0
basin,is an animal,0
tricycle,is an animal,0
chestnut,is an animal,0
desk,is an animal,0
cupboard,is an animal,0
swing,is an animal,0
revolver,is an animal,0
rocket,is an animal,0
dresser,is an animal,0
cannon,is an animal,0
guitar,is an animal,0
leg,is an animal,0
daffodil,is an animal,0
grater,is an animal,0
screw,is an animal,0
basket,is an animal,0
pine,is an animal,0
ladle,is an animal,0
sledge,is an animal,0
cage,is an animal,0
mirror,is an animal,0
stool,is an animal,0
gloves,is an animal,0
banana,is an animal,0
skateboard,is an animal,0
gin,is an animal,0
bucket,is an animal,0
jam,is an animal,0
tulip,is an animal,0
harmonica,is an animal,0
swimsuit,is an animal,0
chest_of_drawers,is an animal,0
bayonet,is an animal,0
kiwi,is an animal,0
football,is an animal,0
screwdriver,is an animal,0
grenade,is an animal,0
hyacinth,is an animal,0
sweater,is an animal,0
blouse,is an animal,0
organ,is an animal,0
spatula,is an animal,0
gun,is an animal,0
dress,is an animal,0
avocado,is an animal,0
trouser,is an animal,0
broom,is an animal,0
pajama,is an animal,0
suit,is an animal,0
banjo,is an animal,0
hair,is an animal,0
yacht,is an animal,0
marble,is an animal,0
hoe,is an animal,0
lamp,is an animal,0
helmet,is an animal,0
belt,is an animal,0
leek,is an animal,0
sink,is an animal,0
oak,is an animal,0
sofa,is an animal,0
sunflower,is an animal,0
eucalyptus,is an animal,0
nut,is an animal,0
microwave,is an animal,0
rollerskate,is an animal,0
wetsuit,is an animal,0
cart,is an animal,0
scarf,is an animal,0
bolt,is an animal,0
orchid,is an animal,0
daisy,is an animal,0
bag,is an animal,0
elm,is an animal,0
